Title,Label
Covid-19 masks are dangerous and the obligation to wear them is a crime against humanity,FALSE
Thousands of people demonstrate in Romania against health measures,FALSE
"The Argentine Vice President, Cristina Fernández de Kirchner, was “multi-vaccinated” against the coronavirus, as shown in these three images",FALSE
The Province of Buenos Aires (Argentina) has already finished vaccinating all its health personnel,FALSE
"Pfizer, Moderna and Astrazeneca are handing out flyers against Covid-19 vaccine",FALSE
"World Health Organization (WHO) approved Coronil, an Indian herbal medication, as a Covid-19 treatment.",FALSE
"Thanks to Anthony Fauci, Judy A. Mikovits has been arrested in 2021",FALSE
We have been vaccinating for two months with a vaccine against COVID-19 that has not been tested in humans.,FALSE
News from the newspaper ‘El País’ in the year 2003 about the current COVID-19 pandemic,FALSE
"The Corona Virus vaccine “can leave you sterile,” according to Argentine actor Marcelo Mazzarello",FALSE
"Fernando Simón, director of the Center for the Coordination of Health Alerts and Emergencies of the Spanish Ministry of Health, has recognized that deaths from other causes are included as if they were from COVID-19",FALSE
"Vaccines cause 600 new cases of eye disease and leave 5 people blind, according to the UK Government",FALSE
UNSAM’s coronavirus vaccine investigation is about to start phase III,FALSE
Photo of protests in Romania against globalist restrictions,FALSE
A message on COVID-19 vaccine registrations for the elderly through the Covid Vaccine Intelligence Work app (Co-WIN) is being circulated on Whatsapp. It includes the steps that are involved in registering for the vaccine including PAN and SMS confirmation.,FALSE
Statements of the Spanish actress Victoria Abril about COVID-19,FALSE
Vaccination suspended at Cadiz nursing home where 46 elderly people have been killed,TRUE
South African President Cyril Ramaphosa received a Covid-19 shot with a syringe that still had the needle covered by a cap.,FALSE
In North Dakota wearing face masks is illegal,FALSE
"On January 18, 2021, WHO recognized ivermectin as a treatment for COVID-19 prevention",FALSE
Children are at risk of heart attack if they wear a mask,FALSE
WHAT IS NOT ON TV – Protest in Madrid against the restrictions of the plandemic,FALSE
Brazilian Military Police and Traffic Department will fine drivers without masks,FALSE
Photos of protesters in Romania rallying against Covid-19 restrictions.,FALSE
The image shows a large crowd protesting against COVID-19 restrictions in Romania,FALSE
"Vaccines that need to be stored at -80ºC are not vaccines, but biological weapons that can change your DNA",FALSE
A mixture of roasted orange and brown sugar will give you back your sense of taste after recovering from COVID-19,FALSE
Covid-19 restrictive measures are useless,FALSE
Photo of kings Felipe VI and Letizia and president Pedro Sánchez entering the Congress of Deputies without a mask,FALSE
Bill Gates said he would never let his children be vaccinated,FALSE
An image purportedly shows a large crowd protesting against COVID-19 restrictions in Romania,FALSE
Australian Prime Minister Scott Morrision faked receiving the COVID-19 vaccine,FALSE
Two photos claim they show people suffering from side effects caused by Moderna’s Covid-19 vaccine.,FALSE
Australian Prime Minister Scott Morrison’s Covid-19 vaccination was faked.,FALSE
"Delfina Rossi (director of Banco Ciudad, Argentina)“The Province of Buenos Aires has already finished vaccinating all its health personnel”",FALSE
"Coronavirus tests do not work to diagnose COVID-19. Red Bull tests positive,",FALSE
"Wearing masks turn the blood into acid, which contributes to lung cancer",FALSE
Vietnam has recorded no deaths from Covid-19 due to widespread consumption of hot lemon tea in the population.,FALSE
CNN journalist deliberately mistranslating a Chinese man’s comments in a report about coronavirus lockdowns in China.,FALSE
A WhatsApp messages asks users to “Fill in this form to consult your covid-19 vaccination site”,FALSE
Sri Lankan ayurvedic practitioner being vaccinated for Covid-19 after he touted a FALSE herbal cure for the disease,FALSE
The Moderna and Pfizer-BioNTech Covid-19 vaccines have “killed” hundreds of people in the United States,FALSE
Australian Prime Minister Scott Morrision faked receiving the COVID-19 vaccine,FALSE
Ivermectin is anticancer and anti-inflammatory and it isn’t metabolized in the liver or eliminated by the kidneys,FALSE
The tannins in the wine are used to combat COVID-19,FALSE
An image showing that PCR tests come with pre-determined wpositive or negative results.,FALSE
"A video showing “doctors, nurses, policemen and firemen” who celebrate that they are no longer part of “the world order” and the “plandemic”",FALSE
An EU publication claims that an Italian doctor died after receiving the second dose of the Pfizer vaccine,FALSE
The Biden administration has stopped testing detained immigrants for Covid-19 before they are released at the southern border.,FALSE
"US Centers for Disease Control and Prevention (CDC) increased the Covid-19 death toll by 1,600 percent because they illegally altered rules for reporting mortality data.",FALSE
The video shows a large crowd protesting against Covid-19 restrictions in France,FALSE
Anvisa’s president has warned that vaccines that are currently being used against Covid-19 are a “sanitary hazard”,FALSE
Videos show the resignations of doctors and lawyers in France for “not being part of the plandemic.”,FALSE
